 Absolute and relative mass balance error for water and solute transport 

    Time [T]   WatVol [V]  WatBalT [V]  WatBalR [%]  ww [V]  wCumT [V]  WatVol-wVolI[V]   wCumA[V]    Deltaw[V]   TotalRootFlow [V/T]  TotRadialFlow [V/T]
      0.1705  3.23670E+01 -4.06140E-08  4.40030E-05  9.22983E-02  9.22982E-02 -9.22983E-02  9.22982E-02  9.22983E-02  4.48838E-01  4.48838E-01
      0.1764  3.23629E+01 -4.19064E-08  4.34929E-05  9.63524E-02  9.63523E-02 -9.63524E-02  9.63523E-02  9.63524E-02  4.47070E-01  4.47070E-01
      0.1843  3.23576E+01 -4.65136E-08  4.57200E-05  1.01736E-01  1.01736E-01 -1.01736E-01  1.01736E-01  1.01736E-01  4.44713E-01  4.44713E-01
      0.1921  3.23522E+01 -5.08776E-08  4.75060E-05  1.07097E-01  1.07097E-01 -1.07097E-01  1.07097E-01  1.07097E-01  4.42356E-01  4.42356E-01
      0.2000  3.23469E+01 -5.50249E-08  4.89383E-05  1.12437E-01  1.12437E-01 -1.12437E-01  1.12437E-01  1.12437E-01  4.40000E-01  4.40000E-01
      0.2083  3.23412E+01 -5.52978E-08  4.68322E-05  1.18077E-01  1.18077E-01 -1.18077E-01  1.18077E-01  1.18077E-01  4.37500E-01  4.37500E-01
      0.2188  3.23342E+01 -5.47637E-08  4.37802E-05  1.25088E-01  1.25088E-01 -1.25088E-01  1.25088E-01  1.25088E-01  4.34375E-01  4.34375E-01
      0.2292  3.23272E+01 -5.29547E-08  4.00986E-05  1.32061E-01  1.32061E-01 -1.32061E-01  1.32061E-01  1.32061E-01  4.31250E-01  4.31250E-01
      0.2396  3.23203E+01 -5.12229E-08  3.68519E-05  1.38997E-01  1.38997E-01 -1.38997E-01  1.38997E-01  1.38997E-01  4.28125E-01  4.28125E-01
      0.2500  3.23134E+01 -4.95438E-08  3.39586E-05  1.45895E-01  1.45895E-01 -1.45895E-01  1.45895E-01  1.45895E-01  4.25000E-01  4.25000E-01
      0.2625  3.23052E+01 -3.93878E-08  2.55569E-05  1.54118E-01  1.54118E-01 -1.54118E-01  1.54118E-01  1.54118E-01  4.21250E-01  4.21250E-01
      0.2750  3.22970E+01 -2.95718E-08  1.82218E-05  1.62288E-01  1.62288E-01 -1.62288E-01  1.62288E-01  1.62288E-01  4.17500E-01  4.17500E-01
      0.2875  3.22889E+01 -1.99813E-08  1.17259E-05  1.70404E-01  1.70404E-01 -1.70404E-01  1.70404E-01  1.70404E-01  4.13750E-01  4.13750E-01
      0.3000  3.22808E+01 -1.05786E-08  5.92750E-06  1.78466E-01  1.78466E-01 -1.78466E-01  1.78466E-01  1.78466E-01  4.10000E-01  4.10000E-01
      0.3167  3.22702E+01 -1.75499E-08  9.27968E-06  1.89121E-01  1.89121E-01 -1.89121E-01  1.89121E-01  1.89121E-01  4.05000E-01  4.05000E-01
      0.3333  3.22596E+01 -2.53336E-08  1.26870E-05  1.99682E-01  1.99682E-01 -1.99682E-01  1.99682E-01  1.99682E-01  4.00000E-01  4.00000E-01
      0.3500  3.22492E+01 -3.29209E-08  1.56655E-05  2.10149E-01  2.10149E-01 -2.10149E-01  2.10149E-01  2.10149E-01  3.95000E-01  3.95000E-01
      0.3750  3.22337E+01 -2.86347E-08  1.26905E-05  2.25638E-01  2.25638E-01 -2.25638E-01  2.25638E-01  2.25638E-01  3.87500E-01  3.87500E-01
      0.4000  3.22184E+01 -2.68883E-08  1.11608E-05  2.40918E-01  2.40918E-01 -2.40918E-01  2.40918E-01  2.40918E-01  3.80000E-01  3.80000E-01
      0.4250  3.22033E+01 -2.53046E-08  9.88509E-06  2.55988E-01  2.55988E-01 -2.55988E-01  2.55988E-01  2.55988E-01  3.72500E-01  3.72500E-01
      0.4500  3.21885E+01 -2.19365E-08  8.09913E-06  2.70850E-01  2.70850E-01 -2.70850E-01  2.70850E-01  2.70850E-01  3.65000E-01  3.65000E-01
      0.4750  3.21738E+01 -1.93531E-08  6.77858E-06  2.85504E-01  2.85504E-01 -2.85504E-01  2.85504E-01  2.85504E-01  3.57500E-01  3.57500E-01
      0.5000  3.21593E+01 -1.62813E-08  5.42801E-06  2.99950E-01  2.99950E-01 -2.99950E-01  2.99950E-01  2.99950E-01  3.50000E-01  3.50000E-01
      0.5250  3.21451E+01 -1.25186E-08  3.98439E-06  3.14191E-01  3.14191E-01 -3.14191E-01  3.14191E-01  3.14191E-01  3.42500E-01  3.42500E-01
